startedAt;percentage_cons;percentage_cons;percentage_cons;valuecons;valuecons;valuecons;total_sum_cons
;df-cons-Christian;df-cons-Marc;df-cons-Véronique;df-cons-Christian;df-cons-Marc;df-cons-Véronique;
2025-01-20 23:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-20 23:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-20 23:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-20 23:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 00:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 00:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 00:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 00:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 01:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 01:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 01:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 01:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 02:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 02:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 02:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 02:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 03:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 03:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 03:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 03:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 04:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 04:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 04:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 04:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 05:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 05:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 05:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 05:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 06:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 06:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 06:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 06:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 07:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 07:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 07:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 07:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 08:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 08:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 08:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 08:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 09:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 09:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 09:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 09:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-01-21 10:00:00+00:00;;;;0.0;0.0;0.0;0.0
