startedAt;valueprodnet;valueprodnet;valueprodnet;valueprodnet
;df-prod-Gaby;df-prod-MarcNord;df-prod-MarcSud;df-prod-Véronique
2025-04-04 19:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 19:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 20:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 20:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 20:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 20:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 21:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 21:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 21:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 21:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 22:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 22:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 22:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 22:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 23:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 23:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 23:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-04 23:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 00:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 00:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 00:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 00:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 01:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 01:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 01:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 01:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 02:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 02:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 02:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 02:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 03:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 03:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 03:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 03:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 04:00:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 04:15:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 04:30:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 04:45:00+00:00;0.0;0.0;0.0;0.0
2025-04-05 05:00:00+00:00;0.0;0.0;0.008;0.036
2025-04-05 05:15:00+00:00;0.0;0.0;0.14;0.356
2025-04-05 05:30:00+00:00;0.0;0.0;0.396;0.86
2025-04-05 05:45:00+00:00;0.024;0.0;0.744;1.416
2025-04-05 06:00:00+00:00;0.112;0.0;1.128;1.964
2025-04-05 06:15:00+00:00;0.176;0.0;1.524;2.496
2025-04-05 06:30:00+00:00;0.212;0.0;1.92;3.012
2025-04-05 06:45:00+00:00;0.356;0.0;2.332;3.508
2025-04-05 07:00:00+00:00;0.604;0.0;2.744;3.988
2025-04-05 07:15:00+00:00;0.936;0.0;3.112;4.416
